_natured (forming compound adjs)	adj\nစိတ္ သေဘာထားရိွေသာ။ good -natuerd.
abrasion	n\nပြန္းပဲ့ဒဏ္။ ပြန္းပဲ့ဒဏ္ရာ။
abrasive	adj\nေကာ္ဖတ္ စသည္ကဲ့သို႔ ပြတ္တိုက္ ရေသာ၊ ပြန္းရွတတ္ေသာ။ ခက္ထန္ၾကမ္းတမ္းေသာ။
abrasiveness	n\nပြတ္တိုက္ရန္ပစၥည္း။
abreast	adv\nရင္ေပါင္တန္း။
abridge	v\nအက်ဉ္းခ်ံဳးသည္။ အက်ဉ္းခ်ဳပ္သည္။
abridgement	n\nက်မ္းအက်ဉ္း။ သံခိပ္က်မ္း။ အက်ဉ္းခ်ဳပ္။
abroad	adv\nႏိုင္ငံရပ္ျခား။ ျပည္ပ (သို႔၊ တြင္၊ မွ)။ (သတင္း) ျဖစ္လ်က္၊ ျပန္႔လ်က္၊ ေျပးလ်က္။ အိမ္ျပင္။
abrogate	v\nပယ္ဖ်က္သည္။
abrogation	n\nပယ္ဖ်က္ျခင္း။
abrupt	adj\nရုတ္ခနဲ၊ ရုတ္ျခည္း၊ ရုတ္တရက္ (ျဖစ္ေသာ)။ (အေျပာအဆို) ၾကြပ္ဆတ္ေသာ၊ ျပတ္ေတာင္းေသာ။ မေျပျပစ္ေသာ။
abscess	n\nျပည္တည္နာ။
abscond	v\nထြက္ေျပးတိမ္းေရွာင္သည္။
absconded	v[pt]\nထြက္ေျပးတိမ္းေရွာင္ခဲ့
absconded	v[pp]\nထြက္ေျပးတိမ္းေရွာင္ခဲ့ျပီး
absconder	n\nဝရမ္းေျပး
absconders	n[pl]\nဝရမ္းေျပးမ်ား
absconding	v[ing]\nထြက္ေျပးတိမ္းေရွာင္ေန
absconds	v[sg]\nထြက္ေျပးတိမ္းေရွာင္
abseil	v\nကမ္းပါးထိပ္တြင္ ဆိုင္းထားေသာ ၾကိဳးႏွစ္ေခ်ာင္း ျဖင့္ ကမ္းပါးယံကို ေျခစံုကန္၍ ေလွ်ာဆင္းသည္။  ေျခစံုကန္ ေလွ်ာဆင္းသည္။
abseil	n\nကမ္းပါးထိပ္တြင္ ဆိုင္းထားေသာ ၾကိဳးႏွစ္ေခ်ာင္း ျဖင့္ ကမ္းပါးယံကို ေျခစံုကန္၍ ေလွ်ာဆင္းျခင္း။  (ေတာင္တက္ျခင္း)
abseless	adj\nအေျခအျမစ္မရိွ
absence	n\nပ်က္ကြက္ျခင္း။ မရိွခိုက္။ မရိွတံုး။ ကင္းမဲ့ျခင္း။ မရိွျခင္း။
absences	n[pl]\nပ်က္ကြက္မ်ား
absent	adj\nမရိွေသာ။ အေဝး ေရာက္။ ပ်က္ကြက္ေသာ။ ကင္းမဲ့ေသာ။ ပတ္ဝန္းက်င္ကို သတိမမူေသာ။ အျခားတစ္ပါးသို႔စိတ္ေရာက္ေနေသာ။ စိတ္မပါေသာ။
absent	v\nေရွာင္ေန
absent minded	adj\nေမ့တတ္(ေသာ)။
absent mindedly	adv\nအမွတ္တမဲ့။ အမွတ္မထင္။
absent mindedness	n\nေမ့ေလ်ာ႔တတ္ျခင္း။
absentee	n\nပ်က္ကြက္သူ။
absentee landlord	n\nအေဝးေရာက္ ေျမရွင္။
absenteeism	n\nပ်က္ကြက္က်င့္။
absently	adv\nေငးတေငးေမာ။
absolute	adj\nအျပည့္အဝ၊ အၾကြင္းမဲ့၊ ပကတိ (ျဖစ္ေသာ)။ မလဲြ၊ မုခ် ဧကန္ (ျဖစ္ေသာ)။ သီးျခား။ သီးသန္႔။
absolute	n\nပရမတ္။
absolute majority	n\nမဲ ထက္ဝက္ေက်ာ္ (ျဖစ္ျခင္း)။
absolute zero	n\nပကတိသုည (အပူခ်ိန္)။
absolutely	adv\nအျပည့္အဝ၊ အေသအခ်ာ။ တကယ္။ အျပတ္။ အထူး။ အလြန္။ လံုးဝ။ ဟုတ္တာေပါ႔။ မွန္သေပါ႔။
absolution	n\n(ခရစ္ယာန္) အျပစ္ ေျဖေပးျခင္း။
absolutism	n\nအၾကြင္းမဲ့ အာဏာပိုင္စိုးေရး။
absolutist	n\nအၾကြင္းမဲ့ အာဏာပိုင္စိုးေရး ဥပေဒ။ အၾကြင္းမဲ့ အာဏာရွင္။ အာဏာရွင္အား ေထာက္ခံသူ၊ ေျမွာက္ပင့္သူ။
absolve	v\nလြတ္ျငိမ္းခြင့္ ျပဳသည္။ (အျပစ္) ေျဖေပးသည္။
absorb	v\nစုပ္ယူသည္။ ခံစားသည္။ (ဥ) ေမြးစားသည္။ သိမ္းသြင္းသည္။ မွတ္သားသည္။ ေလ့က်က္သည္။ ဒဏ္ခံကာကြယ္ေပးသည္။ (စိတ၊္ အာရံုကို ) ဆြေဆာင္ထားသည္။ ရန္ပံုေငြ သံုးစဲြကုန္က်မႈရိွသည္။
absorb	v[sg]\nစုပ္ယူ
absorbed	adj\n(အာရံု) စဲြျငိလ်က္ရိွ(ေသာ)။
absorbed	v[pt]\nစုပ္ယူခဲ့
absorbed	v[pp]\nစုပ္ယူခဲ့ျပီး
absorbency	n\nေရ၊ အရည္ စုပ္ယူျခင္း။
absorbent	adj\nေရ၊ အရည္ စုပ္ယူေသာ။
absorbing	adj\nစိတ္ဝင္စားဖြယ္ေကာင္းေသာ။
absorbing	v[ing]\nစုပ္ယူေန
absorbment	n\nစုပ္ယူ
absorption	n\nစုပ္ယူျခင္း (သို႔) ဆီးတားဒဏ္ခံေပးျခင္း (သို႔) နစ္မြန္းေနျခင္း။
abstain	v\n(မေပးျခင္း) မျပဳဘဲေနသည္။ (မဲ) မေပးပဘဲေနသည္။ (မဲခဲြရာ၌) ၾကားေနသည္။
abstainer	n\n(အရက္) ေရွာင္သူ။
abstemious	adj\n(အေသာက္အစား) ျခိဳးျခံေသာ၊ ေရွာင္ေသာ။
abstention	n\nမဲမေပးဘဲေနျခင္း။ ၾကားေနမဲ။
abstinence	n\n(အေသာက္အစား အေပ်ာ္အပါးလိုက္စားမႈ) ေရွာင္ျခင္း။
abstract	adj\nစိတ္ကူးသက္သက္။ ေယဘုယ် (သေဘာ)။ စိတၱဇ (ပန္းခ်ီ၊ ပန္းပု၊ အက စသည္)။
abstract	n\nစိတၱဇ ပန္းခ်ီ။ ေကာက္ႏွတ္ခ်က္။ အက်ဉ္းခ်ဳပ္။ သံခိပ္။
abstract	v\nေကာက္ႏုတ္သည္။
abstract noun	n\nစိတၱဇနာမ္။
abstracted	adj\n(အာရံု) ပ်ံ႔လြင့္လ်က္ရိွေသာ။
abstractedly	adv\nအျခားတစ္ပါးသို႔ အာရံုပ်ံ႔လြင့္လ်က္။ ေငးေငး ေမာေမာ။ စိတ္မေပါ႔တပါ။
abstraction	n\nစိတ္ကူးစိတ္သန္း။ စိတ္ဝင္စားမႈ မရိွျခင္း။ ကင္းလြတ္ျခင္း။
abstruse	adj\nနက္နဲေသာ။ ခဲကတ္ေသာ။
absurd	adj\nျဖစ္ႏိုင္ေျခမရိွေသာ။ အဓိပၸါယ္ မရိွ ေသာ။ ကိုးရိုးကားရားႏိုင္ေသာ။ ရယ္ဖြယ္ ျဖစ္ေသာ။
absurdity	n\nရယ္ဖြယ္ေကာင္းမႈ။
absurdly	adv\nမေတာ္မတရား။
abundance	n\nအလွ်ံပယ္ရိွျခင္း။
abundant	adj\nအလွ်ံပယ္ျဖစ္ေသာ။ အလြန္ ေပါမ်ားေသာ။ ေဖြးေဖြးလႈပ္ (မ်ားျပားေသာ)။ ၾကြယ္ဝေသာ။ ခ်မ္းသာေသာ။
abundantly	adv\nအလွ်ံပယ္။ အလြန္။
abuse	v\nအလဲြသံုးစားျပဳသည္။ ေစာ္ကားသည္။ ႏိွပ္စက္ညွဉ္းပန္းသည္။ မတရား က်င့္သည္။ မဟားတရားျပဳသည္။ ဆေရးတိုင္းထြာသည္။
abuse	n\nတလဲြသံုးျခင္း။ မတရားသံုးျခင္း။ (အာဏာ၊ အခြင့္အေရး) အလဲြသံုးစား ျပဳျခင္း။ မေတာ္မတရားျပဳ ျခင္း။ ဆေရးျခင္း။ မေတာ္အေရာ္ အၾကမ္းပတမ္း ကိုင္တြယ္အသံုးျပဳျခင္း။
abused	v[pt]\nအလဲြသံုးစားျပဳခဲ့
abused	v[pp]\nအလဲြသံုးစားျပဳခဲ့ျပီး
abuser	n\nအလဲြသံုးစားျပသူ
abusers	n[pl]\nအလဲြသံုးစားျပဳသူမ်ား
abuses	v[sg]\nအလဲြသံုးစားျပဳ
abusing	v[ing]\nအလဲြသံုးစားျပဳေန
abusive	adj\nရင့္သီးေသာ။ ရိုင္စိုင္းေသာ။ ရုန္႔ရင္း ၾကမ္းတမ္းေသာ(စကား)။
abusively	adv\nရိုင္းစိုင္းစြာ။
abut	v\nထိစပ္သည္။ ေက်ာခိုင္းနံစပ္ျဖစ္သည္။
abysmal	adj\nကမ္းကုန္ေသာ။ အလြန္ဆိုးရြားေသာ။ တြင္းဆံုး က်ေသာ။
abysmally	adv\nကမ္းကုန္စြာ။ အလြန္ဆိုးရြားစြာ။
abyss	n\nအသူတစ္ရာနက္ေသာေခ်ာက္။
AC	n\n(Alternating Current) ျပန္လွန္လွ်ပ္စီး။ ေအစီ။
acacia	n\n(ထေနာင္းမ်ိဳး) အေကရွားပင္။
academe	n\nပညာရပ္သင္ၾကားမႈ အဝန္းဝိုင္း။ ေက်ာင္း။
academia	n\nပညာရပ္သင္ၾကားမႈ အဝန္းဝိုင္း။ ေက်ာင္း။
academic	adj\nပညာသင္(ႏွစ္)။ ဘဲြ႔(ဝတ္စံု)။ တကၠသိုလ္ေက်ာင္းသား(ဘဝ)။ ပညာပါရမီ ရိွေသာ။
academic	n\nတကၠသိုလ္ဆရာ။
academically	adv\nပညာပါရမီရိွစြာ။
academician	n\nေတာ္ဝင္ ပညာရွင္။
academies	n[pl]\nပညာသင္မ်ား
academy	n\nအထူးပညာရပ္သင္ေက်ာင္း၊ တကၠသိုလ္။ အႏုပညာ၊ သိပၸံ စသည္ (ေတာ္ဝင္) အသင္းအဖဲြ႔။
Academy Award	n\n(ရုပ္ရွင္) အကယ္ဒမီဆု။
acanthus	n\nဥေရာပေတာင္ပိုင္းႏွင့္ အာရွတိုက္တြင္ေပါက္သည့္ခရာပင္စသည့္ဆူးပင္မ်ိဳး။
ACAS	n\nAdvisory, Conciliation and Arbitration Service. ျဗိတိသွ် ဝါဏိဇၹပဋိပကၡ ေစ့စပ္ေရး အဖဲြ႔အစည္း။
accede	v\n(နန္း)တက္သည္။ ရာထူရာခံ တစ္ခုခုသို႔ တက္လွမ္းသည္။ လိုက္ေလ်ာသည္။ လက္ခံသည္။
accelerate	v\nအရိွန္ျမွင့္သည္။ ေစာေစသည္။ အရိွန္ျမင့္လာသည္။
acceleration	n\nအရိွန္၊ ဆဲြအား။ အရိွန္အဟုန္ တိုးတက္မႈ။
accelerator	n\n(ေမာ္ေတာ္ကား) လီဗာ။ အရိွန္ေပးစက္။
accent	n\nဖိရြတ္သံ။ ဖိသံ။ သံေျပာင္းျပ သေကၤတ။ ဝဲသံ။ အေလးေပးမႈ။
accent	v\nဝဲသံပါသည္။ သံေျပာင္းျပ သေကၤတျပသည္။ ထင္းေစသည္။ ထင္ရွား ေပၚလြင္ေစသည္။
accents	n[pl]\nဖိရြတ္သံမ်ား
accentuate	v\nထင္းေနေစသည္။ ေပၚလြင္ေစသည္။
accentuation	n\nထင္းေနေစျခင္း။ ေပၚလြင္ေစျခင္း။
accept	v\nလက္ခံသည္။ ယူသည္။ အသိအမွတ္ ျပဳသည္။ (ဒုကၡ သုကၡ၊ သည္းညည္း) ခံသည္။ ယူသည္။ ၾကည္ျဖဴစြာလက္ခံသည္။ လက္သင့္ခံသည္။
acceptable	adj\nလက္ခံႏိုင္ေသာ။ ယူႏိုင္ေသာ။ လက္သင့္ခံႏိုင္ေသာ။ (ႏွစ္လိုဖြယ္)ေကာင္းေသာ။
acceptablity	n\nလက္ခံႏိုင္ျခင္း။ ယူႏိုင္္ျခင္း။ လက္သင့္ခံႏိုင္္ျခင္း။ (ႏွစ္လိုဖြယ္)ေကာင္း္ျခင္း။
acceptably	adv\nလက္ခံႏိုငစြာ။ ယူႏိုင္စြာ။ လက္သင့္ခံႏိုင္စြာ။ (ႏွစ္လိုဖြယ္)ေကာင္းစြာ။
acceptance	n\n(ဖိတ္ၾကားခ်က္၊ အဆို ျပဳခ်က္ စသည္) လက္ခံျခင္း။ လက္သင့္ခံျခင္း။ ဝင္ခြင့္ျပဳျခင္း။ လက္ခံျခင္း။ ၾကိဳဆိုလက္ခံျခင္း။ သည္းခံျခင္း။
accepted	v[pt]\nလက္ခံခဲ့
accepted	v[pp]\nလက္ခံခဲ့ျပီး
accepting	v[ing]\nလက္ခံေန
acceptor	n\nလက္ခံသူ
